,description,variety
13,"Bergström has made a Shea designate since 2003, intent on showcasing a “pretty” style of the vineyard. Here are lovely aromatics, with grape jelly, rose petals and plum in the nose, and a complex run of red fruits in the mouth. Streaks of cola, brown sugar and more come up in a generous finish.",Pinot Noir
14,"Focused and dense, this intense wine captures the essence of ripe raspberries. Aged in 50% new French oak, it's got a strong vein of coffee and mocha. The flavors broaden out and penetrate, finishing with highlights of cedar, cinnamon and dark chocolate. Drink now through the 2020s, but decant if you want the full expression.",Pinot Noir
15,"Cranberry, baked rhubarb, anise and crushed slate aromas show on the nose of this always-excellent bottling from the Franscioni family. The palate abounds with energy, driving black raspberry fruit accented with earthy loam, fennel, oregano and juniper through a compellingly round midpalate.",Pinot Noir
16,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.",Chardonnay
17,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.",Chardonnay
18,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.",Red Blend
19,"Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019.",Red Blend
20,"A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020.",Red Blend
21,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Cabernet Sauvignon
22,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.",Cabernet Sauvignon
23,"This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017.",Chardonnay
24,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.",Pinot Noir
25,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",Chardonnay
26,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.",Cabernet Sauvignon
27,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.",Riesling
28,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.",Red Blend
29,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",Pinot Noir
30,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",Chardonnay
31,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Chardonnay
32,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Cabernet Sauvignon
33,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Pinot Noir
34,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Cabernet Sauvignon
35,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",Cabernet Sauvignon
36,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose.",Pinot Noir
37,"An elegant blend from different estate vineyards, this widely available cuvée brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce.",Pinot Noir
38,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Chardonnay
39,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",Cabernet Sauvignon
40,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018–2028.",Pinot Noir
41,"Dark red violet in color, this wine has aromas of cherry, lavender and rose petal. It is a well-balanced wine with flavors of black cherry, raspberry, Turkish delight and herbes de Provence. Silky tannins coat the palate into the lasting finish, which is punctuated by a note of bright cherry.",Cabernet Sauvignon
42,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Chardonnay
43,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish.",Cabernet Sauvignon
44,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush.",Pinot Noir
45,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic—easy to drink and enjoy.",Cabernet Sauvignon
46,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Chardonnay
47,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",Chardonnay
48,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",Cabernet Sauvignon
49,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",Cabernet Sauvignon
50,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",Chardonnay
51,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",Chardonnay
52,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",Cabernet Sauvignon
53,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish.",Riesling
54,"Let this burly, big-boned beauty open to fully enjoy its robust oak and fistfuls of black cherry, the oak showing in terms of toasty, slightly reductive aromas. A smooth texture keeps the wine flowing along a concentrated highway of power and ripeness.",Pinot Noir
55,"This small-quantity selection from within the Charles Vineyard was fermented by native yeast, and neither fined nor filtered. It is quite aromatic, full bodied and moderately fruity, and has a nice rounded mouthfeel, generous red-cherry and spice flavors and good structure from acidity and mild tannins. Tart cherry lingers on the finish.",Pinot Noir
56,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021.",Chardonnay
57,"This wine is tasty, tangy and nervy, bringing a very refreshing and appetizing mouthfeel, and wonderful fresh acidity. All of that tang shows good fruitiness too, as the red-cherry and cranberry flavors are vivid and concentrated. It's a versatile wine to drink now or buy by the case to save some bottles for more aging.",Pinot Noir
58,"This medium-bodied wine has a compelling blend of restraint and power. It offers modest, fruity aromas at first, then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish. With little oak flavor in the way, it gives pure Pinot sophistication.",Pinot Noir
59,"This is a thick, chocolatey wine with a side of leather and black pepper that appeals on multiple levels. Full-bodied concentration gives way to a smooth, rounded palate robust in blackberry and vanilla.",Cabernet Sauvignon
60,"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth.",Chardonnay
61,"This is a delightfully crisp, elegant and lip-smacking wine, that's subtle and easy to love. Lemon peel, apple skin and pear play together well, never becoming distracting, but instead integrating well with one another and the light hint of oak. Food friendly, it's also a great deal.",Chardonnay
62,"While Cabernet Sauvignon dominant, all five red Bordeaux varieties are represented here. Dark in color, a combination of black pepper and black-fruit syrup meets earthy and dry tannins. This structured wine needs time. Cellar through 2020.",Cabernet Sauvignon
63,"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power.",Chardonnay
64,"Red-cherry and strawberry aromas meld with rich fruit and warm baking-spice flavors to make this full-bodied wine hard to resist. The style is in the ripe, pastry shop mode, and soft tannins and acidity complete the picture.",Pinot Noir
65,"Reflecting the vintage, this Pinot is light and lithe in style. It shows tart cherry fruit and suggestions of chocolate, with bright acidity and a thin finish.",Pinot Noir
66,"Staunch berry, cassis and spice aromas are friendly and congruent. This Malbec-led blend is jammy in feel, a bit hollow in the middle, and easy to like as a whole. Blackberry and blueberry flavors finish fleshy, with soft tannins.",Red Blend
67,"A blend of fruit from three Rogue Valley sites, this is a fine example of the style of Pinot made in Southern Oregon. The estate vineyard sits at 2,100 feet on a steep, east-facing slope, with densely planted vines. It's a big, blocky, full-bodied wine, loaded with flavors of black cherry, black coffee and barrel toast. Tannins are substantial, but the flavors are full and forward. What it lacks in elegance it makes up for in immediate likeability.",Pinot Noir
68,"Tightly focused, as is often true of single-vineyard bottlings, this matches spicy berry fruit to light barrel flavors of milk chocolate. It's smooth and accessible, but finishes a bit short.",Pinot Noir
69,"Crushed plum, espresso, tobacco and cedar aromas unfold in the glass. A blend of 90% Merlot and 10% Alicante, the straightforward palate offers blackberries, red currants, clove and licorice alongside fine-grained tannins.",Red Blend
70,"Aromas of wild berries, violets and a whiff of spice lead the nose on this blend of Sangiovese and 15% Merlot. The savory, easygoing palate offers mature black cherry, clove and black pepper alongside lithe tannins. Drink through 2016.",Red Blend
71,"This has a light yellow color with a touch of green and a subtle smell of crisp green apples. Flavors that are richer than expected, like poached pears, butter and fig. The texture is rich, the body full and the ripe flavors linger on the finish.",Chardonnay
72,"Rhubarb, cola and pencil shavings emerge from the glass on this appellation blend from the longtime Santa Rosa Road winery, today owned by the Terlato family. Deeply earthy aromas of beet juice, root beer and dried berries arise on the palate, showing the region's typical blend of soil minerality and dark fruit.",Pinot Noir
73,"Made from what Californians call the Pommard clone, this has a light, traditional garnet color. Fresh and lively fruit aromas resemble cranberries and red cherries, followed by tangy fruit and cinnamon flavors of medium intensity, supported by firm acidity and moderate tannins.",Pinot Noir
74,"A robust blend of 70% Sangiovese and 30% Cabernet Sauvignon, this offers aromas of baked plum, mocha, menthol and oak-driven spice. The hearty palate initially opens with black fruit, chocolate, licorice and dried herb flavors but the heat of evident alcohol dominates the finish and the close.",Red Blend
75,"Juicy and soft in blackberry and black cherry, this wine is nicely resolved in terms of tannin and oak structure,. These provide weight on the back palate, with enough heightened acidity on the finish to stay on balance. Strawberry and dried herb close things out.",Cabernet Sauvignon
76,"Aromas of latex, tire rubber, spice, cured meat and berry fruits are rugged and require patience to sift through. This Cabernet Sauvignon-led blend is big and grabby, but not precise, with loud, herbal, muscular flavors of stewed plum, licorice and peppercorn.",Red Blend
77,"Focused streaks of high-acidity lemon and a low oak profile combine for a refreshing take on Chardonnay, the other components coming together in swathes of fennel and brine. The wine finishes with a hit of power.",Chardonnay
78,"Super earthy, in the classic damp forest-floor way, this also offers hints of menthol, eucalyptus and tomato leaf. The wine begins light bodied, but builds up power and weight as it goes. Layered with black cherry and plum, it's dark and savory.",Pinot Noir
79,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Red Blend
80,"A creamy, buttery texture wraps around a core of bright lemon and apple flavors. This is balanced slightly toward sweetness as the luxurious viscosity carries the vivid flavors into the finish.",Chardonnay
81,"Zesty and mineral, this unoaked, citrusy Chardonnay would make a particularly refreshing apéritif. Flavors of Asian pear and quince are crisp and cutting on the palate. Enjoy now for it's vivacious style.",Chardonnay
82,"Smoke and violet perfume are seductive on this elegant off-dry Riesling. Fresh green apple and pear flavors are tart but concentrated, wrapping up tightly with a squeaky-clean, lemon-lime finish.",Riesling
83,"Intense notes of crushed stone and slate permeate this stately off-dry Riesling. Pert lemon and tangerine flavors are zippy and fresh, but the wine is more a showcase for its brisk, stony style.",Riesling
84,"Though just four years old, this wine seems advanced with notes of dried cherry, vanilla, dried tobacco and blackberry. The dried cranberry and cherry flavors are rich and tart, backed by quite astringent tannins.",Cabernet Sauvignon
85,"The chalk soil of the Rosacker vineyard has produced a rich, intensely fruity wine that is shot through with steely minerality and a wonderful perfumed character. It's so crisp and fresh while also being densely textured and complex. The wine has a long future, drink from 2017.",Riesling
86,"Beautifully balanced, this conveys both rich fruit and a tense, intense minerality. Combining the two strands impeccably, it brings out tangy apple and pink grapefruit flavors and a steely, tight acidity. It's a structured wine that needs to age. Drink from 2018.",Riesling
87,"Paradis is a parcel within the Pfingstberg Grand Cru, giving particularly fine and rich Riesling. This ripe and full-bodied wine manages to preserve all the elegance and style of the grape while having full tropical fruits, juicy acidity and a warm, rounded aftertaste. It will certainly age, so drink from 2017.",Riesling
88,"This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years.",Riesling
89,"Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious.",Riesling
90,"Chris Gorman is the winemaker for this pure, old vine Cabernet Sauvignon. Despite the high alcohol and the use of 100% new French oak, most of the old vine nuances are still there—a wild mix of heather and herb with berry and grain scents that weave together in the mouth. Brambly and tart, with strawberry and cherry fruit, it's a compelling wine that keeps you on your toes.",Cabernet Sauvignon
91,"Somewhat light in color, this is an aromatically appealing wine that shows a complex assortment of coffee, vanilla, pencil lead, cherry, blueberry and high-toned herbal notes. It's exquisitely polished in its styling, with plush tannins and a long, lingering finish. A pretty expression of the variety that shows a great degree of elegance and deftness, it drinks well out of the gate but continues to improve with additional time to breathe.",Cabernet Sauvignon
92,"From a seven-acre section of the vineyard, this offers plenty of saddle leather and cedar amidst spicy cardamom layers, a soft, juicy core and tingling acidity. The structure and weight suggest the ability to cellar comfortably through 2020.",Cabernet Sauvignon
93,"Principally Klipsun vineyard fruit, this is a mass of black cherry and cassis, wreathed in smoke from aging in 80% new French barrels. Great balance and length carry it through into drying tannins. A perfect steakhouse Cabernet.",Cabernet Sauvignon
94,"This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017.",Riesling
95,"Floral aromas lead into a rich, not quite dry wine that is beautifully ripe and perfumed. It is rounded and opulent while preserving the steely, mineral texture. Still young, it demands aging. Drink from 2017.",Riesling
96,"As its name implies, this wine comes from chalk soil, giving both a strongly mineral character and ripe tropical fruit flavors. It's rich, full in the mouth, dry but with such a ripe character there seems to be some sweetness. It's impressively full and ready to drink now.",Riesling
97,"Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken.",Chardonnay
98,"Toasty scents and flavors of the barrels (40% new) cloak tart raspberry fruit. It's clean and efficient, though for the moment at least, the barrel flavors outrun the rather light fruit. That can change over time, so give this one until 2015 or so in bottle.",Pinot Noir
99,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end.",Chardonnay
100,"Sourced from the estate vineyard—the same vineyard that fuels the Private Stash reserve—this shows a dusty, somewhat charred character, presumably from the barrel aging. Along with the slightly burnt toast character comes plenty of black cherry fruit, and acids that leave a slightly chalky impression in the finish.",Pinot Noir
101,"The other realm of the coin from Brown Ranch, Toyon is leaner and lighter, its color even subdued, a study in wild strawberry and layered floral highlights, oak and cardamom spice. It bristles with acidity, pleasant to sip on its own or with bacon-wrapped figs.",Pinot Noir
102,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",Pinot Noir
103,"Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors.",Red Blend
104,"There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors.",Chardonnay
105,"Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016.",Cabernet Sauvignon
106,"Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.",Pinot Noir
107,"A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017.",Chardonnay
108,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now.",Chardonnay
109,"This is such a good Pinot, and so reflective of the Sonoma Coast, that its price makes it a steal. With low alcohol and brisk acidity, it's translucent in color, with a gleaming ruby hue. The mouthfeel is silky and delicate, yet the raspberry, cola and buttered cinnamon toast flavors are intense. Drink now–2020.",Pinot Noir
110,"A great follow-up to the winery's 2011, made this time from an esteemed vineyard in one of the coldest parts of the valley. The vintage was difficult, but the wine is rich in raspberry, cranberry and persimmon flavors, brightened by crisp acidity and finishing totally dry. There's no reason not to drink it now.",Pinot Noir
111,"Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond.",Cabernet Sauvignon
112,"There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink.",Chardonnay
113,"This is a ripe and smoothly textured wine. It is already finely balanced, rich with toast, apricot fruits and a tight, mineral character. It is enjoyable now but will age well until 2022.",Chardonnay
114,"Sourced from a 15-acre vineyard on Parrett Mountain, this displays single vineyard specificity. Entry is surprisingly soft, and (perhaps influenced by the name) there seems to be a pleasing clay-like quality to the mouthfeel. Clean blueberry fruit leads into a tasty, balanced finish.",Pinot Noir
115,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",Pinot Noir
116,"The hue is an elegant peach just starting to blush with pink. The wine is entirely dry, with low alcohol framing intricate flavors of peaches, limes and vanilla, brightened by crisp acidity.",Pinot Noir
117,"With a light, silky mouthfeel and mouthwatering acidity, this Pinot satisfies for its rich array of raspberries, cherries, spices, cola and smoky oak. It defines the Carneros style: tart, a little earthy and ageworthy. Drink now–2019.",Pinot Noir
118,"Entirely estate grown from dry-farmed grapes, this white sparkles with waxy apricot and pear flavors and crisp, underlying mineral stoniness. Dry, with refreshing acidity, it doesn't skimp on mouthfeel, delivering a viscosity that's invitingly complex and lingering.",Riesling
119,"This complex and fragrant wine opens with dried violet, black plum and cooking spice aromas. The smooth, well-structured palate doles out blackberry jam, pipe tobacco, ripe black cherry, nutmeg and licorice flavors. Velvety tannins provide elegant support. Drink through 2027.",Red Blend
120,"From a combination of dry-farmed estate fruit and grapes sourced in Carneros, this lovely white is fermented in stainless steel, which coaxes a seamless, light-bodied crispness on the palate. Exotic white peach and briny stone highlight a heady aromatic thread of honeysuckle, ginger and wild vanilla.",Riesling
121,"Winemaker Bill Brosseau hits a single vineyard home run with this bottling from one of the Central Coast's oldest sites. It shows exotic plum, tangy cranberry, pine needle, juniper and pencil shaving scents on the nose. The palate is steeped in mulberry, marjoram and curry-like Indian spices, proving dynamic and delicious in the most compelling ways.",Pinot Noir
122,"Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest.",Chardonnay
123,"The estate's 13 acres were first planted in 1999. This lovely wine expresses itself with perfectly ripened black-cherry fruit, a dash of cola, and an underpinning of clean earth, complemented with a touch of mineral. The finish is superb.",Pinot Noir
124,"Consistently outstanding Pinot Noir producer Black Kite has done it again. This bottling comes together in a seamless symphony of aromas and flavors. Ripe fruit, subtly spicy oak and forest floor notes fill the glass. Its opulent texture unfolds into layers of baking spice, earthiness, and red and black cherry fruit, with a long, complex finish.",Pinot Noir
125,"Powerful tannin meets subdued fruit in this layered, youthful wine. Concentrated and focused, with rose petal, sage and wild strawberry notes, it holds back teasingly before slowly unraveling to reveal velvety texture and corpulent weight.",Pinot Noir
126,"There is a darker fruit spectrum evident in the reserve, with notes of coffee, smoke, black fruits, a touch of charred wood all worked through, and without damping the core fruit flavors. Those bright flavors spotlight raspberry, plum and black cherry. A light cola flavor pokes through, with ripe tannins and proportionate acids. The barrel treatment is beautifully applied, adding sweet spice to the finish.",Pinot Noir
127,"From the famous site on Westside Road outside of Healdsburg, this bold red shows orange, dark cherry and pungent earth scents, remaining savory at its core. Medium-bodied and balanced with acidity, it takes on a meaty persona seasoned with pepper, clove and black tea.",Pinot Noir
128,"This impressive 100% varietal wine shows focused red fruit, a tropical edge of coconut and firm, structured tannin. Sage, cedar, tobacco and black pepper notes provide a sultry, savory counterpoint to the fruit, balanced with moderate acidity. Enjoy 2023–2033.",Cabernet Sauvignon
129,"This gorgeous wine deftly integrates a lively mix of currant, cherry, breakfast tea and dried leaves into a seamless and seductive whole. Produced from vines dating back to the early 1970s, it finishes with a delicious streak of milk chocolate. Drink now through 2030.",Pinot Noir
130,"From a prime site relatively high in elevation for the appellation, this wine shows beautiful, crisp acidity, as robust layers of mountain raspberry, blackberry and coffee flavor vie for attention. Full bodied and densely structured, it unfurls in wisps of black licorice and clove on the lengthy finish.",Cabernet Sauvignon
131,"Intensely aromatic, yet big and even chunky in the mouth, this young wine remains compressed and hard-edged. Give it ample aeration, and cranberry, blackberry and black cherry fruits come alive. Dense with fruit and detailed with wet stone minerality, this should be cellared a few years, and consumed from 2020 to 2030.",Pinot Noir
